"skillId","family","sourceFile","targetContract","requirements","activationGate","connectedRetest"
"revive_fallen","SUMMON","stage-10-summons-cohort-b.json","CORPSE_REQUIRED","Eligible corpse and durable claim","","NOT_RUN"
"riposte","REACTION","stage-04-skills.json","SELF_ARMED","Reaction state/assets/capability; triggers acquire attackers after activation","","NOT_RUN"
"root_lash","LINE","stage-08-connections-cohort-b.json","ENTITY_REQUIRED","ConnectionProfile.requiresTarget; first aimed eligible entity","","NOT_RUN"
"root_snare","TRAP","stage-06-area-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"scythe_sweep","STRIKE","stage-13-strikes-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"shield_bash","STRIKE","stage-04-skills.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"simulacrum","SUMMON","stage-10-summons-cohort-e.json","PLACEMENT_NO_ENEMY_REQUIRED","Loaded safe placement and summon caps/assets","","NOT_RUN"
"snipe","PROJECTILE","stage-13-projectiles-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","NATIVE_BOW_MAX_RANGE_UNVERIFIED","NOT_RUN"
"spark","STRIKE","stage-13-strikes-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"spear_thrust","STRIKE","stage-13-strikes-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"spear_toss","PROJECTILE","stage-13-projectiles-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"spirit_shield","BARRIER","stage-09-support-cohort-c.json","RECIPIENT_REQUIRED","Explicit valid ally recipient; native selector permits authored self fallback","","NOT_RUN"
"stone_bolt","PROJECTILE","stage-05-projectiles.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"summon_void_crawlers","SUMMON","stage-10-summons-cohort-c.json","PLACEMENT_NO_ENEMY_REQUIRED","Loaded safe placement and summon caps/assets","","NOT_RUN"
"taunt","DIRECT_TARGET","stage-09-support-cohort-b.json","ENTITY_REQUIRED","Explicit hostile target eligibility/range/LOS","","NOT_RUN"
"thorns_aura","AURA","stage-09-support-cohort-d.json","SELF_OR_RECIPIENT_SET","Self/recipient-set support; native support gates, reservations and escrow unchanged","","NOT_RUN"
"venom_spray","CONE","stage-06-area-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"void_beam","BEAM","stage-08-connections-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"void_bolt","PROJECTILE","stage-13-projectiles-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"void_cataclysm","BOMBARDMENT","stage-06-area-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"void_dash","MOVEMENT","stage-13-movement-cohort-d.json","SPATIAL_EMPTY_ALLOWED","Movement direction and bounded native collision path; no enemy required","","NOT_RUN"
"vortex","GROUND_ZONE","stage-06-area-cohort-c.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"wall_of_fire","WALL","stage-06-area-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Ground/roof/aim/placement and bounded query gates as authored; zero enemies allowed","","NOT_RUN"
"weakening_hex","DIRECT_TARGET","stage-09-support-cohort-b.json","ENTITY_REQUIRED","Explicit hostile target eligibility/range/LOS","","NOT_RUN"
"web_shot","PROJECTILE","stage-13-projectiles-cohort-b.json","SPATIAL_EMPTY_ALLOWED","Aim, config, launch capacity, ammunition if authored, muzzle/path gates; no enemy required","","NOT_RUN"
"whirlwind","STRIKE","stage-13-strikes-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"wind_cutter","LINE","stage-08-connections-cohort-a.json","SPATIAL_EMPTY_ALLOWED","Actor/equipment/resource/cooldown/capability and bounded native geometry; entities resolved at execution","","NOT_RUN"
"wolf_summon","SUMMON","stage-10-summons-cohort-a.json","PLACEMENT_NO_ENEMY_REQUIRED","Loaded safe placement and summon caps/assets","","NOT_RUN"
