"id","name","implementationStage","equipCommand","linkCommand","expectedModifier","knownLimitations","chosenCompatibleSkill","baselineResult","modifiedResult","incompatibleResult","testTime","loadoutRevision","correlationRootInstance","evidenceFiles","notes"
"hemorrhage","Hemorrhage","11","/rpg equip passive01 hemorrhage","/rpg link passive01 skill01","Direct hits gain a 25% chance to apply Bleed for 4 seconds, dealing 12% of the triggering pre-mitigation Physical hit per second.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"homing","Homing","7","/rpg equip passive01 homing","/rpg link passive01 skill01","Allow projectiles to steer toward the committed valid target or a server-selected nearby target, with 10% reduced effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"impact_force","Impact Force","11","/rpg equip passive01 impact_force","/rpg link passive01 skill01","Increase knockback distance/force and stagger contribution by 75%, but reduce damage magnitude by 10%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"kill_trigger","Kill Trigger","11","/rpg equip passive01 kill_trigger","/rpg link passive01 skill01","When the linked skill kills an enemy, repeat the primary execution at 50% effect toward the nearest valid enemy within 12 m. Internal cooldown: 1.0 second.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"leeching","Leeching","11","/rpg equip passive01 leeching","/rpg link passive01 skill01","Restore the linked skill's declared resource equal to 3% of final damage dealt, capped at 8% of maximum resource per root cast.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"lifeblood","Lifeblood","11","/rpg equip passive01 lifeblood","/rpg link passive01 skill01","Pay Health instead of the linked skill's normal Mana/Stamina cost. Health cost is 150% of the original numeric resource cost, and linked effect magnitude is increased by 10%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"lingering","Lingering","11","/rpg equip passive01 lingering","/rpg link passive01 skill01","Increase finite effect duration by 40%, but increase spend cost or upkeep attributable to that finite effect by 15%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"long_reach","Long Reach","11","/rpg equip passive01 long_reach","/rpg link passive01 skill01","Increase target range, projectile maximum travel distance, beam/line/tether reach, or movement destination range by 25%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"minion_empowerment","Minion Empowerment","10","/rpg equip passive01 minion_empowerment","/rpg link passive01 skill01","Increase linked summons' maximum Health and damage/effect by 30%, but reduce their duration by 25%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"mobile_domain","Mobile Domain","11","/rpg equip passive01 mobile_domain","/rpg link passive01 skill01","Convert the linked terrain-anchored Ground Zone into a caster-attached Mobile Zone while preserving its finite duration, payload, and pulse rules, at 80% effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"momentum","Momentum","11","/rpg equip passive01 momentum","/rpg link passive01 skill01","Increase linked damage by 5% per meter of actual displacement before impact, capped at \+50%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"multistrike","Multistrike","11","/rpg equip passive01 multistrike","/rpg link passive01 skill01","Repeat the linked strike twice after the primary attack, each repeat dealing 65% effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"opportunist","Opportunist","11","/rpg equip passive01 opportunist","/rpg link passive01 skill01","Deal 25% increased damage to targets currently Rooted, Frozen, Stunned, or Feared.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"orbit","Orbit","11","/rpg equip passive01 orbit","/rpg link passive01 skill01","Convert the linked projectile/orb payload into an orbiting effect around the caster for 4 seconds at 70% effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"overcharge","Overcharge","11","/rpg equip passive01 overcharge","/rpg link passive01 skill01","Increase linked effect magnitude by 25%, but increase its spend cost or continuous upkeep by 20%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"overflow","Overflow","9","/rpg equip passive01 overflow","/rpg link passive01 skill01","Healing in excess of the target's missing Health becomes a temporary barrier, capped at 20% of that target's maximum Health and lasting 6 seconds.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"phantom_reach","Phantom Reach","11","/rpg equip passive01 phantom_reach","/rpg link passive01 skill01","Also strike one additional valid enemy within 3 m of the primary target at 60% effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"piercing","Piercing","7","/rpg equip passive01 piercing","/rpg link passive01 skill01","Allow each projectile to pierce 2 additional enemy contacts.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"potency","Potency","6","/rpg equip passive01 potency","/rpg link passive01 skill01","Increase the linked skill's damage, healing, or barrier magnitude by 15%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"proliferation","Proliferation","11","/rpg equip passive01 proliferation","/rpg link passive01 skill01","When an enemy dies carrying an eligible status applied by the linked skill, spread the strongest eligible status to valid enemies within 4 m at 70% of its remaining magnitude/duration.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"rapid_invocation","Rapid Invocation","11","/rpg equip passive01 rapid_invocation","/rpg link passive01 skill01","Reduce pre-execution cast/activation time by 20%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"rapid_pulse","Rapid Pulse","11","/rpg equip passive01 rapid_pulse","/rpg link passive01 skill01","Reduce pulse interval by 30%; each pulse resolves at 80% of normal effect for the same total duration.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"reflective_ward","Reflective Ward","9","/rpg equip passive01 reflective_ward","/rpg link passive01 skill01","Reduce barrier capacity by 20%, but reflect 20% of damage actually absorbed back to the attacker.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"repulsion","Repulsion","11","/rpg equip passive01 repulsion","/rpg link passive01 skill01","Push susceptible enemies up to 2.5 m away from the effect center when the linked area resolves or pulses; reduce linked damage by 10%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"resonance","Resonance","9","/rpg equip passive01 resonance","/rpg link passive01 skill01","Increase Aura radius by 40%, but increase reservation/upkeep by 15%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"retaliation","Retaliation","11","/rpg equip passive01 retaliation","/rpg link passive01 skill01","Disable manual activation. After the player accumulates incoming damage equal to 15% of maximum Health, automatically execute the linked skill at 70% effect, then reset the damage accumulator.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"return","Return","7","/rpg equip passive01 return","/rpg link passive01 skill01","After the projectile exhausts its normal forward path, send it back toward the caster.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"reversal","Reversal","11","/rpg equip passive01 reversal","/rpg link passive01 skill01","Increase the linked reaction/counter window by 30% and retaliation effect by 25%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"ricochet","Ricochet","7","/rpg equip passive01 ricochet","/rpg link passive01 skill01","Allow up to 2 terrain ricochets before the projectile terminates.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"ruthless","Ruthless","11","/rpg equip passive01 ruthless","/rpg link passive01 skill01","Every third committed use of the linked skill deals 60% increased damage and 50% increased stagger contribution.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"second_wind","Second Wind","11","/rpg equip passive01 second_wind","/rpg link passive01 skill01","Grant the linked skill one additional stored charge, but increase recharge/cooldown time by 30%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"selflessness","Selflessness","9","/rpg equip passive01 selflessness","/rpg link passive01 skill01","The Aura no longer affects the caster, but its beneficial effect on allies is increased by 35%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"shared_aegis","Shared Aegis","9","/rpg equip passive01 shared_aegis","/rpg link passive01 skill01","When the linked self-barrier is created, grant the nearest valid ally within 8 m a barrier equal to 50% of the caster's created barrier.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"shatter","Shatter","11","/rpg equip passive01 shatter","/rpg link passive01 skill01","When the linked skill kills a Frozen enemy, create a 3 m Cold explosion at 50% of the killing hit's pre-mitigation effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"shockwave","Shockwave","11","/rpg equip passive01 shockwave","/rpg link passive01 skill01","A successful damaging strike releases a 3 m radial Physical shockwave at 40% of the strike's effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"shrapnel","Shrapnel","7","/rpg equip passive01 shrapnel","/rpg link passive01 skill01","On the first damaging enemy impact of each projectile, create a 2.5 m radial secondary hit at 50% of the projectile's effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"skill_delay","Skill Delay","6","/rpg equip passive01 skill_delay","/rpg link passive01 skill01","The linked skill activates after a short 2.0 second delay, but deals/heals/shields at 135% of normal effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"splinterburst","Splinterburst","7","/rpg equip passive01 splinterburst","/rpg link passive01 skill01","When a projectile reaches terminal termination, release 3 secondary projectiles at 35% effect each.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"swarm","Swarm","10","/rpg equip passive01 swarm","/rpg link passive01 skill01","Create \+1 additional summon; every summon created by the linked skill has 25% reduced Health and damage/effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"terror","Terror","11","/rpg equip passive01 terror","/rpg link passive01 skill01","Direct hits gain a 15% chance to Fear susceptible non-boss enemies for 1.5 seconds.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"triage","Triage","9","/rpg equip passive01 triage","/rpg link passive01 skill01","Increase healing by 35% when the recipient is below 35% current Health at heal resolution.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"vacuum","Vacuum","11","/rpg equip passive01 vacuum","/rpg link passive01 skill01","Pull susceptible enemies up to 2 m toward the effect center when the linked area resolves or pulses; reduce linked damage by 10%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"virulence","Virulence","11","/rpg equip passive01 virulence","/rpg link passive01 skill01","Increase Poison duration by 30% and apply \+1 Poison stack on each successful Poison application.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"volley","Volley","7","/rpg equip passive01 volley","/rpg link passive01 skill01","Fire 2 additional projectiles in a symmetric spread; all projectiles deal 75% of the linked skill's normal effect.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
"widening","Widening","11","/rpg equip passive01 widening","/rpg link passive01 skill01","Increase beam/line width by 50%, but reduce effect magnitude by 15%.","Only compiler-approved targets; see exact matrix and runtime tests | Recipient skill native/role/API limitations also apply | No positive connected all-passive execution evidence","","NOT_RUN","NOT_RUN","NOT_RUN","","","","",""
