"id","name","family","equipCommand","mainHandKinds","offHandKinds","baseResource","baseCost","baseCooldownSeconds","baseWindupSeconds","activationGate","knownLimitations","profileSource","fullRuntimeProfile","positiveResult","negativeResult","cleanupResult","testTime","heldItem","loadoutRevision","correlationRootInstance","evidenceFiles","notes"
"void_cataclysm","Void Cataclysm","BOMBARDMENT","/rpg equip skill01 void_cataclysm","STAFF;SPELLBOOK","","MANA","65","60","1.25","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-06-area-cohort-c.json","{""skillId"":""void_cataclysm"",""family"":""BOMBARDMENT"",""secondaryFamilies"":[""GROUND_ZONE""],""allowedMainHandKinds"":[""STAFF"",""SPELLBOOK""],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""resourceCost"":65,""cooldownSeconds"":60,""windupSeconds"":1.25,""basePowerSource"":""MAGIC_WEAPON"",""scaling"":""MAGIC"",""area"":{""geometry"":""DISC"",""height"":3,""status"":"""",""candidateBudget"":256,""radius"":10,""placementRange"":35,""lifetimeSeconds"":8,""intervalSeconds"":1,""impactCount"":8,""impactRadius"":2.5,""stratified"":true,""perTargetHitCap"":5,""coefficient"":0.85,""finalCoefficient"":2,""finalPull"":3,""visualCoreRadius"":4,""element"":""VOID""}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"flame_weapon","Flame Weapon","BUFF","/rpg equip skill01 flame_weapon","SWORD;LONGSWORD;MACE;BATTLEAXE;SPEAR;DAGGER","","MANA","15","12","0","","Native basic-hit application is not integrated; supported RPG hit path only | Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-c.json","{""skillId"":""flame_weapon"",""family"":""BUFF"",""allowedMainHandKinds"":[""SWORD"",""LONGSWORD"",""MACE"",""BATTLEAXE"",""SPEAR"",""DAGGER""],""requiredOffHandKinds"":[],""secondaryFamilies"":[],""resourceType"":""MANA"",""resourceCost"":15,""cooldownSeconds"":12,""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""innateBasePower"":0,""scaling"":""MAGIC"",""support"":{""kind"":""IMBUE"",""range"":0,""radius"":0,""coefficient"":0.3,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":12,""movementIncreased"":0}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"frenzy","Frenzy","BUFF","/rpg equip skill01 frenzy","SWORD;DAGGER;BATTLEAXE","","STAMINA","12","10","0","NATIVE_PER_ACTOR_BASIC_ATTACK_CADENCE_UNVERIFIED","NATIVE_PER_ACTOR_BASIC_ATTACK_CADENCE_UNVERIFIED | Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-13-stance-cohort-f.json","{""skillId"":""frenzy"",""family"":""BUFF"",""secondaryFamilies"":[""STANCE""],""allowedMainHandKinds"":[""SWORD"",""DAGGER"",""BATTLEAXE""],""requiredOffHandKinds"":[],""resourceType"":""STAMINA"",""resourceCost"":12,""cooldownSeconds"":10,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""LIGHT"",""nativeStance"":{""maximumStacks"":5,""attackSpeedPerStack"":0.04,""inactivitySeconds"":3,""staminaPerSecond"":2,""cooldownOnEnd"":true}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"battle_cry","Battle Cry","BURST","/rpg equip skill01 battle_cry","","","STAMINA","10","14","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-b.json","{""skillId"":""battle_cry"",""family"":""BURST"",""allowedMainHandKinds"":[],""requiredOffHandKinds"":[],""secondaryFamilies"":[],""resourceType"":""STAMINA"",""resourceCost"":10,""cooldownSeconds"":14,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""RALLY"",""range"":0,""radius"":6,""coefficient"":0.1,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":8,""movementIncreased"":0.1}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"frost_nova","Frost Nova","BURST","/rpg equip skill01 frost_nova","STAFF;SPELLBOOK","","MANA","18","10","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-06-area-cohort-a.json","{""skillId"":""frost_nova"",""family"":""BURST"",""secondaryFamilies"":[],""allowedMainHandKinds"":[""STAFF"",""SPELLBOOK""],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""resourceCost"":18,""cooldownSeconds"":10,""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""scaling"":""MAGIC"",""area"":{""geometry"":""DISC"",""radius"":5.5,""height"":3,""impactCount"":1,""perTargetHitCap"":1,""coefficient"":1.1,""chillStacks"":2,""element"":""COLD"",""status"":""CHILL"",""candidateBudget"":64}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"ground_slam","Ground Slam","BURST","/rpg equip skill01 ground_slam","MACE;BATTLEAXE","","STAMINA","18","9","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-06-area-cohort-a.json","{""skillId"":""ground_slam"",""family"":""BURST"",""secondaryFamilies"":[""STRIKE""],""allowedMainHandKinds"":[""MACE"",""BATTLEAXE""],""requiredOffHandKinds"":[],""resourceType"":""STAMINA"",""resourceCost"":18,""cooldownSeconds"":9,""windupSeconds"":0,""basePowerSource"":""WEAPON"",""scaling"":""HEAVY"",""area"":{""geometry"":""DISC"",""radius"":5,""height"":3,""impactCount"":1,""perTargetHitCap"":1,""coefficient"":1.55,""edgeFalloff"":0.3,""displacement"":2,""element"":""EARTH"",""status"":"""",""candidateBudget"":64}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"pack_howl","Pack Howl","BURST","/rpg equip skill01 pack_howl","","","STAMINA","8","16","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-c.json","{""skillId"":""pack_howl"",""family"":""BURST"",""allowedMainHandKinds"":[],""requiredOffHandKinds"":[],""secondaryFamilies"":[],""resourceType"":""STAMINA"",""resourceCost"":8,""cooldownSeconds"":16,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""HOWL"",""range"":0,""radius"":7,""coefficient"":0.08,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":10,""movementIncreased"":0.12}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"cold_wave","Cold Wave","CONE","/rpg equip skill01 cold_wave","STAFF;WAND","","MANA","16","9","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-06-area-cohort-b.json","{""secondaryFamilies"":[],""allowedMainHandKinds"":[""STAFF"",""WAND""],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""scaling"":""MAGIC"",""skillId"":""cold_wave"",""family"":""CONE"",""resourceCost"":16,""cooldownSeconds"":9,""area"":{""geometry"":""SECTOR"",""radius"":12,""angleDegrees"":70,""height"":2.5,""impactCount"":1,""perTargetHitCap"":1,""coefficient"":1.25,""innerRadius"":6,""chillStacks"":2,""innerChillStacks"":3,""element"":""COLD"",""status"":""CHILL"",""candidateBudget"":64}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"venom_spray","Venom Spray","CONE","/rpg equip skill01 venom_spray","","","STAMINA","12","7","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-06-area-cohort-b.json","{""secondaryFamilies"":[],""allowedMainHandKinds"":[],""requiredOffHandKinds"":[],""resourceType"":""STAMINA"",""windupSeconds"":0,""basePowerSource"":""INNATE"",""scaling"":""LIGHT"",""skillId"":""venom_spray"",""family"":""CONE"",""resourceCost"":12,""cooldownSeconds"":7,""innateBasePower"":20,""area"":{""geometry"":""SECTOR"",""radius"":8,""angleDegrees"":65,""height"":2.5,""impactCount"":1,""perTargetHitCap"":1,""coefficient"":0.9,""element"":""POISON"",""status"":""POISON"",""statusSeconds"":7,""candidateBudget"":64}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"corpse_burst","Corpse Burst","CORPSE","/rpg equip skill01 corpse_burst","SPELLBOOK","","MANA","18","6","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-10-summons-cohort-d.json","{""skillId"":""corpse_burst"",""family"":""CORPSE"",""secondaryFamilies"":[""BURST""],""allowedMainHandKinds"":[""SPELLBOOK""],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""resourceCost"":18,""cooldownSeconds"":6,""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""innateBasePower"":0,""scaling"":""MAGIC"",""summonAction"":{""kind"":""CORPSE_BURST"",""range"":20,""radius"":4,""coefficient"":1.6,""duration"":0,""damageIncreased"":0,""shieldFraction"":0}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"chain_lightning","Chain Lightning","DIRECT_TARGET","/rpg equip skill01 chain_lightning","STAFF;WAND","","MANA","24","10","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-08-connections-cohort-b.json","{""skillId"":""chain_lightning"",""family"":""DIRECT_TARGET"",""secondaryFamilies"":[],""allowedMainHandKinds"":[""STAFF"",""WAND""],""requiredOffHandKinds"":[],""resourceType"":""MANA"",""resourceCost"":24,""cooldownSeconds"":10,""windupSeconds"":0,""basePowerSource"":""MAGIC_WEAPON"",""scaling"":""MAGIC"",""connection"":{""kind"":""CHAIN"",""range"":22,""width"":0.02,""height"":0.02,""depth"":0,""speed"":0,""lifetimeSeconds"":0.25,""intervalSeconds"":0.08,""coefficient"":1.25,""upkeepPerSecond"":0,""radius"":0,""originHeight"":1.35,""element"":""LIGHTNING"",""details"":{""jumpRadius"":8,""jumpCoefficients"":[1.25,1,0.8,0.65],""bladeCount"":0,""degreesPerSecond"":0,""contactCooldown"":0,""healFraction"":0,""status"":"""",""statusSeconds"":0}}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"dominate","Dominate","DIRECT_TARGET","/rpg equip skill01 dominate","WAND;SPELLBOOK","","MANA","30","35","0","","Native source-role coverage restricted to audited Wolf_Black | Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-10-summons-cohort-f.json","{""skillId"":""dominate"",""family"":""DIRECT_TARGET"",""allowedMainHandKinds"":[""WAND"",""SPELLBOOK""],""requiredOffHandKinds"":[],""secondaryFamilies"":[""CONVERSION""],""resourceType"":""MANA"",""resourceCost"":30,""cooldownSeconds"":35,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""MAGIC"",""conversion"":{""range"":15,""duration"":12}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"hunter_s_mark","Hunter's Mark","DIRECT_TARGET","/rpg equip skill01 hunter_s_mark","BOW;CROSSBOW;GUN","","STAMINA","5","6","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-b.json","{""skillId"":""hunter_s_mark"",""family"":""DIRECT_TARGET"",""allowedMainHandKinds"":[""BOW"",""CROSSBOW"",""GUN""],""requiredOffHandKinds"":[],""secondaryFamilies"":[],""resourceType"":""STAMINA"",""resourceCost"":5,""cooldownSeconds"":6,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""MARK"",""range"":30,""radius"":0,""coefficient"":0.1,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":15,""movementIncreased"":0}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"intimidate","Intimidate","DIRECT_TARGET","/rpg equip skill01 intimidate","","","STAMINA","6","3","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-b.json","{""skillId"":""intimidate"",""family"":""DIRECT_TARGET"",""allowedMainHandKinds"":[],""requiredOffHandKinds"":[],""secondaryFamilies"":[],""resourceType"":""STAMINA"",""resourceCost"":6,""cooldownSeconds"":3,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""FEAR"",""range"":16,""radius"":0,""coefficient"":0,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":2,""movementIncreased"":0}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"minor_heal","Minor Heal","DIRECT_TARGET","/rpg equip skill01 minor_heal","STAFF;SPELLBOOK","","MANA","12","4","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-a.json","{""skillId"":""minor_heal"",""family"":""DIRECT_TARGET"",""allowedMainHandKinds"":[""STAFF"",""SPELLBOOK""],""resourceType"":""MANA"",""resourceCost"":12,""cooldownSeconds"":4,""basePowerSource"":""INNATE"",""innateBasePower"":20,""scaling"":""UTILITY"",""support"":{""kind"":""HEAL"",""range"":18,""radius"":0,""coefficient"":1,""reservationFraction"":0,""toggleLockSeconds"":0},""secondaryFamilies"":[],""requiredOffHandKinds"":[],""windupSeconds"":0}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"taunt","Taunt","DIRECT_TARGET","/rpg equip skill01 taunt","","","STAMINA","5","8","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-b.json","{""skillId"":""taunt"",""family"":""DIRECT_TARGET"",""allowedMainHandKinds"":[],""requiredOffHandKinds"":[],""secondaryFamilies"":[],""resourceType"":""STAMINA"",""resourceCost"":5,""cooldownSeconds"":8,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""TAUNT"",""range"":12,""radius"":0,""coefficient"":0,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":5,""movementIncreased"":0}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
"weakening_hex","Weakening Hex","DIRECT_TARGET","/rpg equip skill01 weakening_hex","WAND;SPELLBOOK","","MANA","10","8","0","","Connected input, execution, visual/animation and multiplayer QA UNVERIFIED","https://github.com/Graham3D/Hytale/blob/cd7cdbd0299de4bf18740b2cca08756b64b77f69/src/main/resources/rpg/runtime/stage-09-support-cohort-b.json","{""skillId"":""weakening_hex"",""family"":""DIRECT_TARGET"",""allowedMainHandKinds"":[""WAND"",""SPELLBOOK""],""requiredOffHandKinds"":[],""secondaryFamilies"":[],""resourceType"":""MANA"",""resourceCost"":10,""cooldownSeconds"":8,""windupSeconds"":0,""basePowerSource"":""NONE"",""innateBasePower"":0,""scaling"":""UTILITY"",""support"":{""kind"":""WEAKEN"",""range"":18,""radius"":0,""coefficient"":0.85,""reservationFraction"":0,""toggleLockSeconds"":0,""durationSeconds"":8,""movementIncreased"":0}}","NOT_RUN","NOT_RUN","NOT_RUN","","","","","",""
